plant,technology,cost_center_id,department,machine_id,plant_shift_date,production_order_number,tool_number,part_number,machine_status,machine_status_duration_seconds_quantity,mpim_class_name
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-01,2002321134210020,(null),2371390-1,200_Produktion,7216,Production
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-01,2002321134210020,(null),2371390-1,213_WKZ Rep. Operator,4350,Technical
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-01,2002321134210020,(null),2371390-1,219_Kurzzeitstoerung,8154,Technical
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-01,2002321134210020,(null),2371390-1,380_Sonstiges,9527,Technical
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-01,2002321134210020,(null),2371390-1,399_kein Auftrag,32,No Load
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-01,2002321134210020,(null),2371390-1,999_Schichtpause,41587,No Load
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-01,2002321134210020,(null),2371390-1,(null),10134,People
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,199_Auftrag abschließen,2668,ChangeOver
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,200_Produktion,8992,Production
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,213_WKZ Rep. Operator,2344,Technical
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,219_Kurzzeitstoerung,9102,Technical
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,310_Maschrep. mechanisch,16548,Technical
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,380_Sonstiges,9240,Technical
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,399_kein Auftrag,31,No Load
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,2002321134210020,(null),2371390-1,999_Schichtpause,30546,No Load
WOERT,Assembly,21017,Assembly Con.,A-409,2025-07-02,(null),(null),(null),999_Schichtpause,2429,No Load
